date,home_team,away_team,game_id,time,location,home_score,away_score,box_score_url
2026-06-13,The Sultans Of Swat,7th Floor Crew,11916,9:00 AM,TBD,,,https://lvc.sportstrack.app/softball/seasons/302/box-scores/11916
2026-06-13,The Big Papi's,Black Mambas,11917,10:30 AM,TBD,,,https://lvc.sportstrack.app/softball/seasons/302/box-scores/11917
2026-06-13,The Ryan Express,Bash Brothers,11918,12:00 PM,TBD,,,https://lvc.sportstrack.app/softball/seasons/302/box-scores/11918
2026-06-14,Muscle Hamsters,Honey Badgers,11919,4:30 PM,TBD,,,https://lvc.sportstrack.app/softball/seasons/302/box-scores/11919
2026-06-14,The Big Units,Wild Things,11920,6:00 PM,TBD,,,https://lvc.sportstrack.app/softball/seasons/302/box-scores/11920
2026-06-16,Nails,The Sultans Of Swat,11921,6:00 PM,TBD,,,https://lvc.sportstrack.app/softball/seasons/302/box-scores/11921
2026-06-18,Lunch Pail Guys,The Big Papi's,11922,6:00 PM,TBD,,,https://lvc.sportstrack.app/softball/seasons/302/box-scores/11922
2026-06-19,7th Floor Crew,Bash Brothers,11923,6:00 PM,TBD,,,https://lvc.sportstrack.app/softball/seasons/302/box-scores/11923
2026-06-20,Black Mambas,Honey Badgers,11924,9:00 AM,TBD,,,https://lvc.sportstrack.app/softball/seasons/302/box-scores/11924
2026-06-20,The Ryan Express,Muscle Hamsters,11925,10:30 AM,TBD,,,https://lvc.sportstrack.app/softball/seasons/302/box-scores/11925
2026-06-20,The Sultans Of Swat,The Big Units,11926,12:00 PM,TBD,,,https://lvc.sportstrack.app/softball/seasons/302/box-scores/11926
2026-06-23,The Big Papi's,Wild Things,11927,6:00 PM,TBD,,,https://lvc.sportstrack.app/softball/seasons/302/box-scores/11927
2026-06-25,Nails,Bash Brothers,11928,6:00 PM,TBD,,,https://lvc.sportstrack.app/softball/seasons/302/box-scores/11928
2026-06-26,Lunch Pail Guys,Honey Badgers,11929,6:00 PM,TBD,,,https://lvc.sportstrack.app/softball/seasons/302/box-scores/11929
2026-06-28,7th Floor Crew,Muscle Hamsters,11930,4:30 PM,TBD,,,https://lvc.sportstrack.app/softball/seasons/302/box-scores/11930
2026-06-28,Black Mambas,The Ryan Express,11931,6:00 PM,TBD,,,https://lvc.sportstrack.app/softball/seasons/302/box-scores/11931
2026-06-30,The Big Units,The Big Papi's,11932,6:00 PM,TBD,,,https://lvc.sportstrack.app/softball/seasons/302/box-scores/11932
2026-07-02,The Sultans Of Swat,Bash Brothers,11933,6:00 PM,TBD,,,https://lvc.sportstrack.app/softball/seasons/302/box-scores/11933
2026-07-07,Wild Things,Honey Badgers,11934,6:00 PM,TBD,,,https://lvc.sportstrack.app/softball/seasons/302/box-scores/11934
2026-07-09,Nails,Muscle Hamsters,11935,6:00 PM,TBD,,,https://lvc.sportstrack.app/softball/seasons/302/box-scores/11935
2026-07-10,Lunch Pail Guys,The Ryan Express,11936,6:00 PM,TBD,,,https://lvc.sportstrack.app/softball/seasons/302/box-scores/11936
