Team,Player,Hits,H2L,H2L %,H2C,H2C %,H2R,H2R %,URL
WHARF RATS,Brian Scaglione,4,6,150.0,12,300.0,0,0.0,https://www.turbostatsevents.com/site/2/stats/softball/lvc/valhalla2025_WHARF%20RATS?player=Brian_Scaglione&report=batting
WHARF RATS,Chris Czapla,24,9,37.5,46,191.7,15,62.5,https://www.turbostatsevents.com/site/2/stats/softball/lvc/valhalla2025_WHARF%20RATS?player=Chris_Czapla&report=batting
WHARF RATS,Chris Mazur,12,21,175.0,25,208.3,0,0.0,https://www.turbostatsevents.com/site/2/stats/softball/lvc/valhalla2025_WHARF%20RATS?player=Chris_Mazur&report=batting
WHARF RATS,Chuck Puleo,8,3,37.5,29,362.5,15,187.5,https://www.turbostatsevents.com/site/2/stats/softball/lvc/valhalla2025_WHARF%20RATS?player=Chuck_Puleo&report=batting
WHARF RATS,Heath Waldorf,3,12,400.0,16,533.3,1,33.3,https://www.turbostatsevents.com/site/2/stats/softball/lvc/valhalla2025_WHARF%20RATS?player=Heath_Waldorf&report=batting
WHARF RATS,Jacob Lieberman,9,3,33.3,33,366.7,7,77.8,https://www.turbostatsevents.com/site/2/stats/softball/lvc/valhalla2025_WHARF%20RATS?player=Jacob_Lieberman&report=batting
WHARF RATS,Jake Berliner,5,11,220.0,23,460.0,2,40.0,https://www.turbostatsevents.com/site/2/stats/softball/lvc/valhalla2025_WHARF%20RATS?player=Jake_Berliner&report=batting
WHARF RATS,John Stefanic,4,24,600.0,17,425.0,0,0.0,https://www.turbostatsevents.com/site/2/stats/softball/lvc/valhalla2025_WHARF%20RATS?player=John_Stefanic&report=batting
WHARF RATS,Jon Mach,11,7,63.6,31,281.8,4,36.4,https://www.turbostatsevents.com/site/2/stats/softball/lvc/valhalla2025_WHARF%20RATS?player=Jon_Mach&report=batting
WHARF RATS,Kurt Heim,6,3,50.0,22,366.7,35,583.3,https://www.turbostatsevents.com/site/2/stats/softball/lvc/valhalla2025_WHARF%20RATS?player=Kurt_Heim&report=batting
WHARF RATS,Matt Rozell,16,39,243.8,25,156.2,0,0.0,https://www.turbostatsevents.com/site/2/stats/softball/lvc/valhalla2025_WHARF%20RATS?player=Matt_Rozell&report=batting
WHARF RATS,Mike Cafaro,0,4,0.0,3,0.0,0,0.0,https://www.turbostatsevents.com/site/2/stats/softball/lvc/valhalla2025_WHARF%20RATS?player=Mike_Cafaro&report=batting
WHARF RATS,Rich Heim,12,19,158.3,26,216.7,7,58.3,https://www.turbostatsevents.com/site/2/stats/softball/lvc/valhalla2025_WHARF%20RATS?player=Rich_Heim&report=batting
WHARF RATS,Ryan Stefanic,7,12,171.4,34,485.7,4,57.1,https://www.turbostatsevents.com/site/2/stats/softball/lvc/valhalla2025_WHARF%20RATS?player=Ryan_Stefanic&report=batting
WHARF RATS,Sub Auerbach,0,0,0.0,2,0.0,1,0.0,https://www.turbostatsevents.com/site/2/stats/softball/lvc/valhalla2025_WHARF%20RATS?player=Sub_Auerbach&report=batting
WHARF RATS,Sub Spoto,1,0,0.0,1,100.0,3,300.0,https://www.turbostatsevents.com/site/2/stats/softball/lvc/valhalla2025_WHARF%20RATS?player=Sub_Spoto&report=batting
WHARF RATS,sub Joey Beyer,1,0,0.0,4,400.0,0,0.0,https://www.turbostatsevents.com/site/2/stats/softball/lvc/valhalla2025_WHARF%20RATS?player=sub_Joey_Beyer&report=batting
WHARF RATS,sub Ricky Beyer,0,1,0.0,3,0.0,0,0.0,https://www.turbostatsevents.com/site/2/stats/softball/lvc/valhalla2025_WHARF%20RATS?player=sub_Ricky_Beyer&report=batting
