game_id,play_id,season,week,season_type,qtr,down,ydstogo,game_seconds_remaining,score_differential,posteam,defteam,play_type,desc,is_sack,win_probability_before,win_probability_after,wp_delta_offense,wp,def_wp,home_wp,away_wp,wpa
2021_01_BAL_LV,3143,2021,1,REG,4,2,15,884,-7,LV,BAL,pass,(14:44) (Shotgun) 4-D.Carr sacked at LV 23 for -13 yards (6-P.Queen).,true,0.233763054013252,0.1639066189527509,-0.0698564350605011,0.233763054013252,0.766236945986748,0.233763054013252,0.766236945986748,-0.0698564350605011
2021_01_CLE_KC,3149,2021,1,REG,4,1,10,610,2,CLE,KC,pass,(10:10) (Shotgun) 6-B.Mayfield sacked at CLE 19 for -6 yards (95-C.Jones).,true,0.648657143115997,0.5955564379692074,-0.05310070514678955,0.648657143115997,0.351342856884003,0.351342856884003,0.648657143115997,-0.0531007051467896
2021_01_CLE_KC,3639,2021,1,REG,4,3,10,221,4,KC,CLE,pass,(3:41) (Shotgun) 15-P.Mahomes sacked at KC 40 for -9 yards (95-M.Garrett).,true,0.795947670936585,0.7332559823989874,-0.06269168853759766,0.795947670936585,0.204052329063416,0.795947670936585,0.204052329063416,-0.0626916885375977
2021_01_MIN_CIN,3645,2021,1,REG,4,3,5,491,3,CIN,MIN,pass,(8:11) (Shotgun) 9-J.Burrow sacked at CIN 25 for -8 yards (99-D.Hunter).,true,0.776016056537628,0.662609577178955,-0.11340647935867298,0.776016056537628,0.223983943462372,0.776016056537628,0.223983943462372,-0.113406479358673
2021_01_MIN_CIN,3764,2021,1,REG,4,3,10,347,-3,MIN,CIN,pass,(5:47) (Shotgun) 8-K.Cousins sacked at MIN 24 for -8 yards (92-B.Hill).,true,0.27583172917366,0.2036843746900556,-0.0721473544836044,0.27583172917366,0.72416827082634,0.72416827082634,0.27583172917366,-0.0721473544836044
2021_01_PIT_BUF,3346,2021,1,REG,4,3,6,631,-3,BUF,PIT,pass,(10:31) (Shotgun) 17-J.Allen sacked at BUF 23 for -6 yards (97-C.Heyward).,true,0.370948821306229,0.2816482186317447,-0.08930060267448431,0.370948821306229,0.629051178693771,0.370948821306229,0.629051178693771,-0.0893006026744843
2021_02_ATL_TB,3365,2021,2,REG,4,2,20,870,3,TB,ATL,pass,(14:30) (Shotgun) 12-T.Brady sacked at TB 29 for -7 yards (45-D.Jones).,true,0.72300535440445,0.6852301359176641,-0.03777521848678589,0.72300535440445,0.276994645595551,0.72300535440445,0.276994645595551,-0.0377752184867859
2021_02_DAL_LAC,3390,2021,2,REG,4,3,9,681,0,DAL,LAC,pass,"(11:21) (Shotgun) 4-D.Prescott sacked at LAC 18 for -8 yards (52-K.Fackrell). FUMBLES (52-K.Fackrell) [52-K.Fackrell], recovered by DAL-70-Z.Martin at LAC 16.",true,0.589312791824341,0.48682087659835804,-0.102491915225983,0.589312791824341,0.410687208175659,0.410687208175659,0.589312791824341,-0.102491915225983
2021_02_DAL_LAC,3729,2021,2,REG,4,2,7,335,-3,LAC,DAL,pass,(5:35) (Shotgun) 10-J.Herbert sacked at DAL 25 for -18 yards (11-M.Parsons).,true,0.653681457042694,0.49386137723922696,-0.15982007980346702,0.653681457042694,0.346318542957306,0.653681457042694,0.346318542957306,-0.159820079803467
2021_02_KC_BAL,3428,2021,2,REG,4,1,10,509,-5,BAL,KC,no_play,"(8:29) (Shotgun) 8-L.Jackson sacked at 50 for -6 yards (35-C.Ward). PENALTY on KC-32-T.Mathieu, Illegal Contact, 5 yards, enforced at KC 44 - No Play.",true,0.337891817092896,0.31714308261871393,-0.020748734474182073,0.337891817092896,0.662108182907105,0.337891817092896,0.662108182907105,-0.0207487344741821
2021_02_MIN_ARI,3141,2021,2,REG,4,3,4,900,-1,MIN,ARI,pass,"(15:00) (Shotgun) 8-K.Cousins sacked at ARI 36 for -4 yards (44-M.Golden). FUMBLES (44-M.Golden) [55-C.Jones], and recovers at ARI 34.",true,0.534072697162628,0.45461270213127114,-0.07945999503135681,0.534072697162628,0.465927302837372,0.465927302837372,0.534072697162628,-0.0794599950313568
2021_02_MIN_ARI,3299,2021,2,REG,4,3,2,688,-2,ARI,MIN,pass,"(11:28) (No Huddle, Shotgun) 1-K.Murray sacked at ARI 34 for -11 yards (99-D.Hunter).",true,0.472843766212463,0.363686621189117,-0.109157145023346,0.472843766212463,0.527156233787537,0.472843766212463,0.527156233787537,-0.109157145023346
