game_id,play_id,season,week,season_type,qtr,down,ydstogo,game_seconds_remaining,score_differential,posteam,defteam,play_type,desc,is_sack,win_probability_before,win_probability_after,wp_delta_offense,wp,def_wp,home_wp,away_wp,wpa
2018_01_ATL_PHI,3320,2018,1,REG,4,3,5,900,-4,ATL,PHI,no_play,"(15:00) (Shotgun) 2-M.Ryan sacked at PHI 35 for -8 yards (91-F.Cox). PENALTY on PHI-96-D.Barnett, Defensive Offside, 5 yards, enforced at PHI 27 - No Play.",true,0.428614765405655,0.48839187622070324,0.05977711081504822,0.428614765405655,0.571385234594345,0.571385234594345,0.428614765405655,0.0597771108150482
2018_01_ATL_PHI,3815,2018,1,REG,4,2,25,391,2,ATL,PHI,pass,"(6:31) (Shotgun) 2-M.Ryan sacked at ATL 10 for -8 yards (sack split by 56-C.Long and 91-F.Cox). FUMBLES (56-C.Long) [56-C.Long], recovered by ATL-51-A.Mack at ATL 15. 51-A.Mack to ATL 15 for no gain (77-M.Bennett).",true,0.647005319595337,0.6013740897178651,-0.045631229877471924,0.647005319595337,0.352994680404663,0.352994680404663,0.647005319595337,-0.0456312298774719
2018_01_ATL_PHI,4239,2018,1,REG,4,2,10,110,-6,ATL,PHI,pass,(1:50) (Shotgun) 2-M.Ryan sacked at PHI 40 for -7 yards (sack split by 56-C.Long and 58-J.Hicks).,true,0.23291052877903,0.15794308483600633,-0.07496744394302368,0.23291052877903,0.76708947122097,0.76708947122097,0.23291052877903,-0.0749674439430237
2018_01_ATL_PHI,4306,2018,1,REG,4,2,1,55,-6,ATL,PHI,pass,"(:55) (No Huddle, Shotgun) 2-M.Ryan sacked at PHI 20 for -7 yards (91-F.Cox).",true,0.430942863225937,0.2635757625103,-0.16736710071563698,0.430942863225937,0.569057136774063,0.569057136774063,0.430942863225937,-0.167367100715637
2018_01_CHI_GB,3105,2018,1,REG,4,2,3,509,3,CHI,GB,pass,(8:29) (Shotgun) 10-M.Trubisky sacked at CHI 32 for 0 yards (76-M.Daniels).,true,0.712373852729797,0.724759221076965,0.012385368347167969,0.712373852729797,0.287626147270203,0.287626147270203,0.712373852729797,0.012385368347168
2018_01_CHI_GB,3871,2018,1,REG,4,4,10,66,-1,CHI,GB,pass,"(1:06) (Shotgun) 10-M.Trubisky sacked at CHI 38 for -8 yards (53-N.Perry). FUMBLES (53-N.Perry) [53-N.Perry], RECOVERED by GB-97-K.Clark at CHI 39. 97-K.Clark to CHI 39 for no gain (75-K.Long).",true,0.313188254833221,0.085399270057678,-0.227788984775543,0.313188254833221,0.686811745166779,0.686811745166779,0.313188254833221,-0.227788984775543
2018_01_CIN_IND,3214,2018,1,REG,4,2,9,877,-6,CIN,IND,pass,"(14:37) (No Huddle, Shotgun) 14-A.Dalton sacked at IND 47 for -6 yards (92-M.Hunt).",true,0.262648403644562,0.21784830093383808,-0.044800102710723905,0.262648403644562,0.737351596355438,0.737351596355438,0.262648403644562,-0.0448001027107239
2018_01_DAL_CAR,3458,2018,1,REG,4,3,14,348,8,CAR,DAL,pass,(5:48) (Shotgun) 1-C.Newton sacked at CAR 25 for -7 yards (90-D.Lawrence).,true,0.936311542987823,0.9103960990905757,-0.025915443897247314,0.936311542987823,0.0636884570121765,0.936311542987823,0.0636884570121765,-0.0259154438972473
2018_01_DAL_CAR,3574,2018,1,REG,4,1,10,210,-8,DAL,CAR,pass,"(3:30) (No Huddle, Shotgun) 4-D.Prescott sacked at DAL 47 for -5 yards (96-W.Horton). Penalty on DAL-71-L.Collins, Offensive Holding, declined.",true,0.0997992679476738,0.0663763657212257,-0.0334229022264481,0.0997992679476738,0.900200732052326,0.900200732052326,0.0997992679476738,-0.0334229022264481
2018_01_DAL_CAR,3638,2018,1,REG,4,1,10,199,-8,DAL,CAR,pass,(3:19) (Shotgun) 4-D.Prescott sacked at DAL 44 for -8 yards (99-K.Short).,true,0.0917465090751648,0.058772265911102295,-0.0329742431640625,0.0917465090751648,0.908253490924835,0.908253490924835,0.0917465090751648,-0.0329742431640625
