game_id,play_id,season,week,season_type,qtr,down,ydstogo,game_seconds_remaining,score_differential,posteam,defteam,play_type,desc,is_sack,win_probability_before,win_probability_after,wp_delta_offense,wp,def_wp,home_wp,away_wp,wpa
2020_03_DET_ARI,3327,2020,3,REG,4,1,10,829,-3,DET,ARI,pass,(13:49) 9-M.Stafford sacked at DET 46 for -10 yards (98-C.Peters).,true,0.460848271846771,0.34299409389495805,-0.11785417795181297,0.460848271846771,0.539151728153229,0.539151728153229,0.460848271846771,-0.117854177951813
2020_03_DET_ARI,3718,2020,3,REG,4,3,8,455,-3,DET,ARI,pass,(7:35) (Shotgun) 9-M.Stafford sacked at ARI 17 for -9 yards (43-H.Reddick).,true,0.504034042358398,0.387584239244461,-0.11644980311393699,0.504034042358398,0.495965957641602,0.495965957641602,0.504034042358398,-0.116449803113937
2020_03_HOU_PIT,3464,2020,3,REG,4,1,10,384,-7,HOU,PIT,pass,(6:24) (Shotgun) 4-D.Watson sacked at HOU 14 for -11 yards (90-T.Watt).,true,0.162750527262688,0.12341412156820329,-0.0393364056944847,0.162750527262688,0.837249472737312,0.837249472737312,0.162750527262688,-0.0393364056944847
2020_03_LA_BUF,3252,2020,3,REG,4,1,10,527,3,BUF,LA,pass,(8:47) 17-J.Allen sacked at LA 42 for -12 yards (99-A.Donald). LA-69-S.Joseph was injured during the play.,true,0.831177055835724,0.7939449548721315,-0.03723210096359253,0.831177055835724,0.168822944164276,0.831177055835724,0.168822944164276,-0.0372321009635925
2020_03_LA_BUF,3338,2020,3,REG,4,3,22,452,3,BUF,LA,pass,"(7:32) (Shotgun) 17-J.Allen sacked at 50 for -8 yards (99-A.Donald). FUMBLES (99-A.Donald) [99-A.Donald], RECOVERED by LA-99-A.Donald at LA 48. 99-A.Donald to LA 48 for no gain (66-B.Winters). PENALTY on BUF-17-J.Allen, Unsportsmanlike Conduct, 15 yards, enforced at LA 48.",true,0.786946415901184,0.536919742822647,-0.250026673078537,0.786946415901184,0.213053584098816,0.786946415901184,0.213053584098816,-0.250026673078537
2020_03_LA_BUF,3573,2020,3,REG,4,1,10,231,-4,BUF,LA,pass,"(3:51) (Shotgun) 17-J.Allen pass incomplete short left [97-M.Fox]. Thrown away under pressure. Los Angeles Rams challenged the incomplete pass ruling, and the play was REVERSED. (Shotgun) 17-J.Allen sacked at BUF 31 for -12 yards (97-M.Fox). J.Allen down by contact before throw-away.",true,0.337610989809036,0.26234436035156217,-0.07526662945747381,0.337610989809036,0.662389010190964,0.337610989809036,0.662389010190964,-0.0752666294574738
2020_03_TEN_MIN,3538,2020,3,REG,4,1,10,444,-5,TEN,MIN,pass,(7:24) (Shotgun) 10-A.Humphries sacked at MIN 36 for 0 yards (50-E.Wilson).,true,0.313437283039093,0.29833382368087774,-0.015103459358215277,0.313437283039093,0.686562716960907,0.686562716960907,0.313437283039093,-0.0151034593582153
2020_03_TEN_MIN,3714,2020,3,REG,4,1,20,287,2,MIN,TEN,pass,(4:47) (Shotgun) 8-K.Cousins sacked at MIN 22 for -7 yards (26-K.Fulton).,true,0.757837355136871,0.7378569841384884,-0.01998037099838257,0.757837355136871,0.242162644863129,0.757837355136871,0.242162644863129,-0.0199803709983826
2020_04_DEN_NYJ,3965,2020,4,REG,4,3,6,304,-1,DEN,NYJ,no_play,"(5:04) (Shotgun) 4-B.Rypien sacked at DEN 19 for -10 yards (95-Q.Williams). PENALTY on NYJ-95-Q.Williams, Face Mask (15 Yards), 15 yards, enforced at DEN 29 - No Play.",true,0.402206003665924,0.49812114238739014,0.09591513872146612,0.402206003665924,0.597793996334076,0.597793996334076,0.402206003665924,0.0959151387214661
2020_04_DEN_NYJ,4322,2020,4,REG,4,4,3,125,-2,NYJ,DEN,pass,(2:05) (Shotgun) 14-S.Darnold sacked at NYJ 43 for -7 yards (55-B.Chubb).,true,0.361995398998261,0.101587593555451,-0.26040780544281,0.361995398998261,0.63800460100174,0.361995398998261,0.63800460100174,-0.26040780544281
2020_04_JAX_CIN,3997,2020,4,REG,4,1,10,169,8,CIN,JAX,pass,(2:49) 9-J.Burrow sacked at JAX 16 for 0 yards (41-J.Allen).,true,0.980379104614258,0.9873476028442385,0.006968498229980469,0.980379104614258,0.0196208953857422,0.980379104614258,0.0196208953857422,0.00696849822998047
2020_04_LAC_TB,3463,2020,4,REG,4,1,10,665,-4,LAC,TB,pass,(11:05) 10-J.Herbert sacked at LAC 22 for -3 yards (58-S.Barrett). 10 handed off to 27 lateral back to 10,true,0.302271127700806,0.2522876262664798,-0.04998350143432617,0.302271127700806,0.697728872299194,0.697728872299194,0.302271127700806,-0.0499835014343262
2020_04_NYG_LA,3237,2020,4,REG,4,1,10,256,-8,NYG,LA,no_play,"(4:16) 8-D.Jones sacked at 50 for -2 yards (54-L.Floyd). PENALTY on LA-22-T.Hill, Illegal Contact, 5 yards, enforced at LA 48 - No Play.",true,0.102975323796272,0.13027557730674721,0.027300253510475214,0.102975323796272,0.897024676203728,0.897024676203728,0.102975323796272,0.0273002535104752
2020_04_NYG_LA,3302,2020,4,REG,4,1,10,241,-8,NYG,LA,pass,(4:01) (Shotgun) 8-D.Jones sacked at LA 35 for -5 yards (58-J.Hollins).,true,0.137604475021362,0.1036959141492841,-0.0339085608720779,0.137604475021362,0.862395524978638,0.862395524978638,0.137604475021362,-0.0339085608720779
2020_04_PHI_SF,2847,2020,4,REG,4,1,10,900,3,SF,PHI,pass,(15:00) 4-N.Mullens sacked at SF 34 for -12 yards (94-J.Sweat).,true,0.750697612762451,0.7207333445549009,-0.02996426820755005,0.750697612762451,0.249302387237549,0.750697612762451,0.249302387237549,-0.0299642682075501
2020_04_PHI_SF,2986,2020,4,REG,4,3,8,694,-3,PHI,SF,pass,(11:34) (Shotgun) 11-C.Wentz sacked at PHI 6 for -7 yards (47-J.Taylor).,true,0.27673351764679,0.2192944586277012,-0.0574390590190888,0.27673351764679,0.72326648235321,0.72326648235321,0.27673351764679,-0.0574390590190888
2020_04_PHI_SF,3073,2020,4,REG,4,3,10,606,3,SF,PHI,pass,"(10:06) (Shotgun) 4-N.Mullens sacked at SF 36 for -9 yards (34-C.LeBlanc). FUMBLES (34-C.LeBlanc) [34-C.LeBlanc], RECOVERED by PHI-97-M.Jackson at SF 42. 97-M.Jackson to SF 42 for no gain (84-K.Bourne).",true,0.749472618103027,0.550691545009613,-0.19878107309341397,0.749472618103027,0.250527381896973,0.749472618103027,0.250527381896973,-0.198781073093414
2020_04_PHI_SF,3977,2020,4,REG,4,3,9,112,5,PHI,SF,pass,(1:52) (Shotgun) 11-C.Wentz sacked at PHI 47 for -5 yards (sack split by 91-A.Armstead and 92-K.Hyder).,true,0.93192994594574,0.9034770131111147,-0.028452932834625244,0.93192994594574,0.0680700540542603,0.0680700540542603,0.93192994594574,-0.0284529328346252
2020_05_LAC_NO,3291,2020,5,REG,4,1,10,775,-7,NO,LAC,pass,(12:55) (Shotgun) 9-D.Brees sacked at LAC 42 for -5 yards (97-J.Bosa).,true,0.257086634635925,0.21291120350360843,-0.04417543113231659,0.257086634635925,0.742913365364075,0.257086634635925,0.742913365364075,-0.0441754311323166
2020_05_LV_KC,3400,2020,5,REG,4,3,9,756,-6,KC,LV,pass,(12:36) (Shotgun) 15-P.Mahomes sacked at KC 37 for -7 yards (98-M.Crosby).,true,0.244834333658218,0.1642176657915111,-0.0806166678667069,0.244834333658218,0.755165666341782,0.244834333658218,0.755165666341782,-0.0806166678667069
2020_05_MIN_SEA,4168,2020,5,REG,4,1,10,10,-1,MIN,SEA,pass,"(:10) (Shotgun) 8-K.Cousins sacked at MIN 27 for -8 yards (95-B.Mayowa). FUMBLES (95-B.Mayowa), touched at MIN 45, recovered by MIN-82-K.Rudolph at MIN 38. The Replay Official reviewed the fumble ruling, and the play was Upheld. The ruling on the field stands.",true,0.329719752073288,0,-0.329719752073288,0.329719752073288,0.670280247926712,0.670280247926712,0.329719752073288,-0.329719752073288
2020_05_PHI_PIT,3711,2020,5,REG,4,1,10,298,-2,PHI,PIT,pass,(4:58) (Shotgun) 11-C.Wentz sacked at PIT 47 for -3 yards (91-S.Tuitt).,true,0.514144599437714,0.4317704737186435,-0.08237412571907043,0.514144599437714,0.485855400562286,0.485855400562286,0.514144599437714,-0.0823741257190704
2020_05_TB_CHI,3449,2020,5,REG,4,1,10,776,-2,CHI,TB,pass,"(12:56) (Shotgun) 9-N.Foles sacked at TB 28 for -13 yards (90-J.Pierre-Paul). FUMBLES (90-J.Pierre-Paul) [90-J.Pierre-Paul], recovered by CHI-70-B.Massie at TB 32.",true,0.629285931587219,0.5621840357780454,-0.06710189580917358,0.629285931587219,0.370714068412781,0.629285931587219,0.370714068412781,-0.0671018958091736
2020_05_TB_CHI,3778,2020,5,REG,4,1,10,385,-1,TB,CHI,pass,(6:25) 12-T.Brady sacked at CHI 23 for -7 yards (52-K.Mack).,true,0.649910688400269,0.589700043201447,-0.06021064519882202,0.649910688400269,0.350089311599731,0.350089311599731,0.649910688400269,-0.060210645198822
2020_05_TB_CHI,3926,2020,5,REG,4,2,10,285,-2,CHI,TB,pass,(4:45) (Shotgun) 9-N.Foles sacked at CHI 16 for -9 yards (92-W.Gholston).,true,0.412488222122192,0.3290500938892361,-0.08343812823295588,0.412488222122192,0.587511777877808,0.412488222122192,0.587511777877808,-0.0834381282329559
2020_06_CIN_IND,3298,2020,6,REG,4,3,12,826,-1,CIN,IND,pass,(13:46) (Shotgun) 9-J.Burrow sacked at CIN 15 for -8 yards (99-D.Buckner).,true,0.382065266370773,0.32058280706405606,-0.06148245930671692,0.382065266370773,0.617934733629227,0.617934733629227,0.382065266370773,-0.0614824593067169
2020_06_DEN_NE,3482,2020,6,REG,4,2,10,74,-6,NE,DEN,pass,(1:14) (Shotgun) 1-C.Newton sacked at DEN 30 for -6 yards (59-M.Reed).,true,0.318076461553574,0.20618753135204398,-0.11188893020153001,0.318076461553574,0.681923538446426,0.318076461553574,0.681923538446426,-0.11188893020153
2020_06_HOU_TEN,3234,2020,6,REG,4,3,8,629,2,HOU,TEN,pass,(10:29) (Shotgun) 4-D.Watson sacked at HOU 49 for -12 yards (98-J.Simmons).,true,0.685270249843597,0.5939606428146358,-0.09130960702896118,0.685270249843597,0.314729750156403,0.314729750156403,0.685270249843597,-0.0913096070289612
2020_06_WAS_NYG,3238,2020,6,REG,4,3,9,221,0,WAS,NYG,pass,"(3:41) (Shotgun) 8-K.Allen sacked at WAS 45 for -10 yards (51-K.Fackrell). FUMBLES (51-K.Fackrell) [51-K.Fackrell], touched at WAS 47, RECOVERED by NYG-48-T.Crowder at WAS 43. 48-T.Crowder for 43 yards, TOUCHDOWN. Officially, a sack for 8 yards.",true,0.46945932507515,0.13625142647421296,-0.333207898600937,0.46945932507515,0.530540674924851,0.530540674924851,0.46945932507515,-0.333207898600937
