game_id,play_id,season,week,season_type,qtr,down,ydstogo,game_seconds_remaining,score_differential,posteam,defteam,play_type,desc,is_sack,win_probability_before,win_probability_after,wp_delta_offense,wp,def_wp,home_wp,away_wp,wpa
2023_01_ARI_WAS,4214,2023,1,REG,4,2,8,89,-4,ARI,WAS,pass,"(1:29) (No Huddle, Shotgun) 9-J.Dobbs sacked at ARI 31 for -8 yards (93-J.Allen).",true,0.250361859798431,0.19397559762001002,-0.05638626217842099,0.250361859798431,0.749638140201569,0.749638140201569,0.250361859798431,-0.056386262178421
2023_01_BUF_NYJ,2799,2023,1,REG,4,3,3,900,-7,NYJ,BUF,pass,(15:00) (Shotgun) 2-Z.Wilson sacked at NYJ 31 for -1 yards (sack split by 56-L.Floyd and 91-E.Oliver).,true,0.238360345363617,0.15704520046710968,-0.08131514489650732,0.238360345363617,0.761639654636383,0.238360345363617,0.761639654636383,-0.0813151448965073
2023_01_BUF_NYJ,2896,2023,1,REG,4,1,10,790,7,BUF,NYJ,pass,"(13:10) (No Huddle, Shotgun) 17-J.Allen sacked at BUF 23 for -2 yards (11-J.Johnson).",true,0.825467348098755,0.8117621541023256,-0.013705193996429443,0.825467348098755,0.174532651901245,0.174532651901245,0.825467348098755,-0.0137051939964294
2023_01_CAR_ATL,3147,2023,1,REG,4,3,10,702,-7,CAR,ATL,pass,(11:42) (Shotgun) 9-B.Young sacked at CAR 29 for -7 yards (sack split by 44-T.Andersen and 97-G.Jarrett).,true,0.158366918563843,0.1064683198928835,-0.0518985986709595,0.158366918563843,0.841633081436157,0.841633081436157,0.158366918563843,-0.0518985986709595
2023_01_LV_DEN,3034,2023,1,REG,4,3,10,855,3,DEN,LV,pass,(14:15) (Shotgun) 3-R.Wilson sacked at DEN 43 for -4 yards (90-J.Tillery).,true,0.712847113609314,0.6649101972579956,-0.04793691635131836,0.712847113609314,0.287152886390686,0.712847113609314,0.287152886390686,-0.0479369163513184
2023_01_MIA_LAC,4679,2023,1,REG,4,2,21,78,-2,LAC,MIA,pass,(1:18) (Shotgun) 10-J.Herbert sacked at LAC 16 for -8 yards (92-Z.Sieler).,true,0.368557661771774,0.2999455928802487,-0.06861206889152532,0.368557661771774,0.631442338228226,0.368557661771774,0.631442338228226,-0.0686120688915253
2023_01_MIA_LAC,4731,2023,1,REG,4,4,12,61,-2,LAC,MIA,pass,(1:01) (Shotgun) 10-J.Herbert sacked at LAC 24 for -9 yards (sack split by 15-J.Phillips and 20-J.Bethel).,true,0.27056547999382,0.03729689121246302,-0.233268588781357,0.27056547999382,0.72943452000618,0.27056547999382,0.72943452000618,-0.233268588781357
2023_01_PHI_NE,3858,2023,1,REG,4,1,10,466,8,PHI,NE,pass,(7:46) (Shotgun) 1-J.Hurts sacked at NE 48 for -8 yards (6-C.Gonzalez).,true,0.941558480262756,0.9252865314483639,-0.01627194881439209,0.941558480262756,0.0584415197372437,0.0584415197372437,0.941558480262756,-0.0162719488143921
2023_01_PHI_NE,4250,2023,1,REG,4,2,5,179,-5,NE,PHI,pass,(2:59) (Shotgun) 10-M.Jones sacked at PHI 43 for -7 yards (sack split by 90-J.Davis and 94-J.Sweat).,true,0.338994383811951,0.22935551404953003,-0.10963886976242099,0.338994383811951,0.661005616188049,0.338994383811951,0.661005616188049,-0.109638869762421
2023_01_PHI_NE,4614,2023,1,REG,4,2,10,58,-5,NE,PHI,pass,(:58) (Shotgun) 10-M.Jones sacked at PHI 22 for -3 yards (98-J.Carter).,true,0.479478031396866,0.359523266553879,-0.119954764842987,0.479478031396866,0.520521968603134,0.479478031396866,0.520521968603134,-0.119954764842987
