season,player_name,canonical_player_name,team_name,reason,player_url
2025,sub Ricky Beyer,SUB RICKY BEYER,WHARF RATS,manual_review_needed,https://www.turbostatsevents.com/site/2/stats/softball/lvc/valhalla2025_WHARF RATS?player=sub_Ricky_Beyer
2025,Sub Auerbach,SUB AUERBACH,WHARF RATS,manual_review_needed,https://www.turbostatsevents.com/site/2/stats/softball/lvc/valhalla2025_WHARF RATS?player=Sub_Auerbach
2024,Sub Spoto,SUB SPOTO,PIPER'S PIT,manual_review_needed,https://www.turbostatsevents.com/site/2/stats/softball/lvc/valhalla2024_PIPER'S PIT?player=Sub_Spoto
2024,sub mal,SUB MAL,ROAD WARRIORS,manual_review_needed,https://www.turbostatsevents.com/site/2/stats/softball/lvc/valhalla2024_ROAD WARRIORS?player=sub_mal
2024,sub aauerbaac,SUB AAUERBAAC,ROAD WARRIORS,manual_review_needed,https://www.turbostatsevents.com/site/2/stats/softball/lvc/valhalla2024_ROAD WARRIORS?player=sub_aauerbaac
2024,Sub Spoto,SUB SPOTO,BUSHWACKERS,manual_review_needed,https://www.turbostatsevents.com/site/2/stats/softball/lvc/valhalla2024_BUSHWACKERS?player=Sub_Spoto
2024,Sub - Bernstein,SUB BERNSTEIN,DEGENERATION X,manual_review_needed,https://www.turbostatsevents.com/site/2/stats/softball/lvc/valhalla2024_DEGENERATION X?player=Sub_-_Bernstein
2024,sub max,SUB MAX,JUNKYARD DOGS,manual_review_needed,https://www.turbostatsevents.com/site/2/stats/softball/lvc/valhalla2024_JUNKYARD DOGS?player=sub_max
2024,sub rj leonard,SUB RJ LEONARD,NATURE BOYS,manual_review_needed,https://www.turbostatsevents.com/site/2/stats/softball/lvc/valhalla2024_NATURE BOYS?player=sub_rj_leonard
2024,sub smith,SUB SMITH,PIPER'S PIT,manual_review_needed,https://www.turbostatsevents.com/site/2/stats/softball/lvc/valhalla2024_PIPER'S PIT?player=sub_smith
2024,sub mal metz,SUB MAL METZ,ROAD WARRIORS,manual_review_needed,https://www.turbostatsevents.com/site/2/stats/softball/lvc/valhalla2024_ROAD WARRIORS?player=sub_mal_metz
2024,Sub Avallone,SUB AVALLONE,BUSHWACKERS,manual_review_needed,https://www.turbostatsevents.com/site/2/stats/softball/lvc/valhalla2024_BUSHWACKERS?player=Sub_Avallone
2024,sub horan,SUB HORAN,JUNKYARD DOGS,manual_review_needed,https://www.turbostatsevents.com/site/2/stats/softball/lvc/valhalla2024_JUNKYARD DOGS?player=sub_horan
2024,sub malachai,SUB MALACHAI,MR T'S,manual_review_needed,https://www.turbostatsevents.com/site/2/stats/softball/lvc/valhalla2024_MR T'S?player=sub_malachai
2024,Sub Mal,SUB MAL,MR T'S,manual_review_needed,https://www.turbostatsevents.com/site/2/stats/softball/lvc/valhalla2024_MR T'S?player=Sub_Mal
2024,Sub-Keith,SUB KEITH,NWO WOLFPACK,manual_review_needed,https://www.turbostatsevents.com/site/2/stats/softball/lvc/valhalla2024_NWO WOLFPACK?player=Sub-Keith
2024,sub,SUB,RAZOR RAMON,manual_review_needed,https://www.turbostatsevents.com/site/2/stats/softball/lvc/valhalla2024_RAZOR RAMON?player=sub
2024,sub rj,SUB RJ,RAZOR RAMON,manual_review_needed,https://www.turbostatsevents.com/site/2/stats/softball/lvc/valhalla2024_RAZOR RAMON?player=sub_rj
2024,sub Spotto,SUB SPOTTO,ROAD WARRIORS,manual_review_needed,https://www.turbostatsevents.com/site/2/stats/softball/lvc/valhalla2024_ROAD WARRIORS?player=sub_Spotto
2024,sub ken ob,SUB KEN OB,ROAD WARRIORS,manual_review_needed,https://www.turbostatsevents.com/site/2/stats/softball/lvc/valhalla2024_ROAD WARRIORS?player=sub_ken_ob
2024,sub - MAL,SUB MAL,SAVAGES,manual_review_needed,https://www.turbostatsevents.com/site/2/stats/softball/lvc/valhalla2024_SAVAGES?player=sub_-_MAL
2024,sub max,SUB MAX,MR T'S,manual_review_needed,https://www.turbostatsevents.com/site/2/stats/softball/lvc/valhalla2024_MR T'S?player=sub_max
2024,Sub Max,SUB MAX,BUSHWACKERS,manual_review_needed,https://www.turbostatsevents.com/site/2/stats/softball/lvc/valhalla2024_BUSHWACKERS?player=Sub_Max
2024,sub - Auerback,SUB AUERBACK,JUNKYARD DOGS,manual_review_needed,https://www.turbostatsevents.com/site/2/stats/softball/lvc/valhalla2024_JUNKYARD DOGS?player=sub_-_Auerback
2024,sub - Mal,SUB MAL,MR T'S,manual_review_needed,https://www.turbostatsevents.com/site/2/stats/softball/lvc/valhalla2024_MR T'S?player=sub_-_Mal
2024,sub beyer,SUB BEYER,PIPER'S PIT,manual_review_needed,https://www.turbostatsevents.com/site/2/stats/softball/lvc/valhalla2024_PIPER'S PIT?player=sub_beyer
2024,sub lynn,SUB LYNN,PIPER'S PIT,manual_review_needed,https://www.turbostatsevents.com/site/2/stats/softball/lvc/valhalla2024_PIPER'S PIT?player=sub_lynn
